Year,Candidate,Sex,Age,Party,Vote,Vote_num,wel,edu,city,other,Pledge,Vote_p,Vote_num_p,Career,Result,Result_p,Type
2022,保谷なおみ,Female,60,Liberal Democrats,3.97,2569.868,"高齢者福祉, 学校給食無償化, 高校生までの 医療費無償化",なし,"西武線連続立体化, 集合住宅の災害対策, 東伏見公園整備, 文理台公園 リニューアル","引きこもり対策, フリーWi-Fi整備, 行政の オンライン化, 地産地消","{Welfare:[高齢者福祉, 学校給食無償化, く後世までの医療費無償化], Education:[なし], City:[西武線連続立体化, 集合住宅の災害対策, 東伏見公園整備, 文理台公園リニューアル], Other:[引きこもり対策, フリーWi-Fi整備, 行政のオンライン化, 地産地消]}",3.92,2367.32,東京大学文学部卒,1,1,市議
2022,後藤ゆう子,Female,56,Nishitokyo-Citizens' Network,3.92,2533,"ジェンダー平等, 高齢者福祉",なし,なし,"地元愛, 地球温暖化対策, 地域活動支援","{Welfare:[ジェンダー平等, 高齢者福祉], Education:[なし],　City:[なし], Other:[地元愛, 地球温暖化対策, 地域活動支援]}",4.48,2705,大阪府吹田市出身,1,1,市議
2022,菅原みほ,Female,47,Constitutional Democrats,3.59,2323,"高齢者福祉, ヤングケアラー支援, 給食費無償化, 子育て支援, ペットとの共生",なし,災害時用トイレ増設,フリーWi-Fi拡充,"{Welfare:[高齢者福祉, ヤングケアラー支援, 給食費無償化, 子育て支援, ペットとの共生], Education:[なし], City:[災害時用トイレ増設], Other:[フリーWi-Fi拡充]}",0,0,動物愛護活動家,1,0,市議
2022,山崎英昭,Male,50,Japan Restoration,3.45,2233,子育て支援,なし,"連続立体交差化 事業, 踏切拡幅, 道路環境整備, 文化芸術拠点 の建築, 緑の維持","情報公開, 電子公文書館, 電子市役所, コミュニティ再構築","{Welfare:[子育て支援],  Education:[なし], City:[連続立体交差化事業, 踏切拡幅, 道路環境整備, 文化芸術拠点の建築, 緑の維持], Other:[情報公開, 電子公文書館, 電子市役所, コミュニティ再構築]}",1.29,776,明治大学大学院 ガバナンス研究科修了,1,0,市議
2022,鈴木ゆうま,Male,36,Democratic Party for the People,3.15,2039,"学校給食無償化, 保育料・障がい児童福祉 手当の所得制限撤廃, 子育て支援","給付型奨学金, 地域コミュニティ 振興, 片親家庭支援, 本と芸術のまち","道路整備, 高齢者の市バス 無償化, 乗り合いバス, AIによる独り暮らし 高齢者支援, 保谷駅前を ファミリー向けに","行政成果の 見える化, ペットとの共生","{Welfare:[学校給食無償化, 保育料・障がい児童福祉手当の所得制限撤廃, 子育て支援], Education:[給付型奨学金, 地域コミュニティ振興, 片親家庭支援, 本と芸術のまち], City:[道路整備, 高齢者の市バス無償化, 乗り合いバス, AIによる独り暮らし高齢者支援, 保谷駅前をファミリー向けに], Other:[行政成果の見える化, ペットとの共生]}",0,0,全国で事業立ち上げを 経験した。,1,0,市議
2022,山田忠良,Male,41,Liberal Democrats,3.07,1986,スポーツ・ 文化振興,なし,なし,"経済立て直し, 行政のデジタル化, 財政","{Welfare:[スポーツ・文化振興], Education:[なし], City:[なし], Other:[経済立て直し, 行政のデジタル化, 財政]}",2.32,1401,行政書士の資格を持つ,1,1,市議
2022,田代のぶゆき,Male,52,Komeito,3.02,1951,"妊娠期・ 子育て支援, 高齢者福祉","不登校・ ヤングケアラー支援, 特別支援教育の充実",防災 （首都直下地震、集中豪雨）,なし,"{Welfare:[妊娠期・子育て支援, 高齢者福祉],Education:[不登校・ヤングケアラー支援, 特別支援教育の充実], City:[防災（首都直下地震、集中豪雨）],　Other:[なし]}",3.38,2038,東京経済大学 経営学部卒,1,1,市議
2022,酒井ごう一郎,Male,44,Liberal Democrats,2.98,1929,"学校給食無償化, 運転免許更新センター 新設","電子図書館, 保育園入園枠拡張","西武新宿線 相互乗り入れ, 田無駅高架化, 東伏見公園への 各種施設設置",なし,"{Welfare:[学校給食無償化, 運転免許更新センター新設],Education:[電子図書館, 保育園入園枠拡張], City:[西武新宿線相互乗り入れ, 田無駅高架化, 東伏見公園への各種施設設置], Other:[なし]}",2.57,1554.507,明治大学公共政策大学院 で地方自治を学んだ,1,1,市議
2022,大竹あつ子,Female,53,Japan Communist,2.97,1922,"学校給食無償化, 障害者グループホーム増設, ジェンダー平等, 動物愛護, 学童増設, 補聴器購入補助",なし,なし,多様性ある町,"{Welfare:[学校給食無償化, 障害者グループホーム増設, ジェンダー平等, 動物愛護, 学童増設, 補聴器購入補助], Education:[なし],City:[なし], Other:[多様性ある町]}",2.79,1684,N/A,1,1,市議
2022,森しんいち,Male,63,Constitutional Democrats,2.96,1914,"高齢者福祉, 障がい者福祉, 学校給食無償化, 高校生までの 医療費無償化",なし,"道路改修, 自転車が安全に 走れる車道, 歩車分離式信号機, 制限速度見直し",なし,"{Welfare:[高齢者福祉, 障がい者福祉, 学校給食無償化, 高校生までの医療費無償化], Education:[なし], City:[道路改修, 自転車が安全に走れる車道, 歩車分離式信号機, 制限速度見直し], Other:[なし]}",3.63,2194.481,建設会社を起業 38年間経営した,1,1,市議
2022,佐藤公男,Male,59,Komeito,2.95,1908.59,"子育て世帯支援, コロナによるフレイル・ 介護予防, 妊娠期・ 子育て支援",文化活動環境整備,なし,田無三中建て替え時に 各種設備設置,"{Welfare:[子育て世帯支援, コロナによるフレイル・介護予防, 妊娠期・子育て支援], Education:[文化活動環境整備], City:[なし], Other:[田無三中建て替え時に各種設備設置]}",3.47,2093,N/A,1,1,市議
2022,大林みつあき,Male,52,Komeito,2.87,1858,障がい者支援,子供施設整備,"道路整備, 踏切高架化, 買い物不便解消, 交通手段整備",人と動物の共生,"{Welfare:[障がい者支援], Education:[子供施設整備], City:[道路整備, 踏切高架化, 買い物不便解消, 交通手段整備], Other:[人と動物の共生]}",3.71,2237,N/A,1,1,市議
2022,八矢よしみ,Female,51,Komeito,2.85,1845,"妊娠期・子育て支援, 高齢者活躍",いじめ・虐待・ ヤングケアラー・ 不登校相談機能強化,なし,なし,"{Welfare:[妊娠期・子育て支援, 高齢者活躍], Education:[いじめ・虐待・ヤングケアラー・不登校相談機能強化], City:[なし], Other:[なし]}",0,0,N/A,1,0,市議
2022,いながき裕二,Male,59,Liberal Democrats,2.83,1830,"高校生まで医療費負担ゼロ, 給食費無償化, 高齢者タクシー運賃補助, 小中体育館トイレ洋式化, 公共施設LED化",電子図書館導入,"東伏見駅鉄道高架化+駅まち開発, 保谷駅前通り活性化, バス路線を南側道路に","省エネ家電購入助成, eスポーツ推進, 市内消費喚起, 財政健全化","{Welfare:[高校生まで医療費負担ゼロ, 給食費無償化, 高齢者タクシー運賃補助, 小中体育館トイレ洋式化, 公共施設LED化], Education:[電子図書館導入],City:[東伏見駅鉄道高架化+駅まち開発, 保谷駅前通り活性化, バス路線を南側道路に], Other:[省エネ家電購入助成, eスポーツ推進, 市内消費喚起, 財政健全化]}",2.6,1570,初当選前は自身が 設立した会社に勤務していた,1,1,市議
2022,中村すぐる,Male,35,Japan Communist,2.79,1803,"補聴器購入補助, 老人ホーム増設, ジェンダー平等","学生支援金, 奨学金制度",市バス拡充,"働き方支援, 消費税減税, インボイス中止","{Welfare:[補聴器購入補助, 老人ホーム増設, ジェンダー平等], Education:[学生支援金, 奨学金制度], City:[市バス拡充], Other:[働き方支援, 消費税減税, インボイス中止]}",3.2,1931,前職は楽器店員,1,1,市議
2022,坂井かずひこ,Male,59,Liberal Democrats,2.74,1773,"高齢者福祉, 医療体制充実","未就学児教育の充実, 公園カフェ","西武新宿線・ 池袋線連続立体化, 芝久保新駅設置",災害・犯罪対策,"{Welfare:[高齢者福祉, 医療体制充実], Education:[未就学児教育の充実, 公園カフェ], City:[西武新宿線・池袋線連続立体化, 芝久保新駅設置], Other:[災害・犯罪対策]}",2.5,1509,IT関連会社を 3社設立した経験がある。,1,1,市議
2022,中川清志,Male,50,Liberal Democrats,2.65,1716,"健康増進, 高齢者福祉, ひとり親・ 多子世帯援助, 高校生まで 医療費無償化, 出産一時金増額","生命尊重教育, 学校と地域の連携","災害弱者をつくらない, 運転免許証 センター誘致, 西武新宿線・池袋線連続立体化, 田無駅南口駅前 広場整備, ひばりが丘周辺の 賑わい創出, 東大農場周辺整備,　地下貯水池, 東伏見公園整備","市役所のデジタル化, ゼロカーボンシティ","{Welfare:[健康増進, 高齢者福祉, ひとり親・多子世帯援助, 高校生まで医療費無償化, 出産一時金増額], Education:[生命尊重教育, 学校と地域の連携], City:[災害弱者をつくらない, 運転免許証センター誘致, 西武新宿線・池袋線連続立体化, 田無駅南口駅前広場整備, ひばりが丘周辺の賑わい創出, 東大農場周辺整備,地下貯水池, 東伏見公園整備], Other:[市役所のデジタル化, ゼロカーボンシティ]}",2.63,1588,獣医師資格を持つ,1,1,市議
2022,藤田みちこ,Female,65,Komeito,2.61,1688,"妊娠期・ 子育て支援, 医療介護拠点の 充実","いじめ・虐待・ヤングケアラー・不登校の相談機能強化, 登下校時の安全",なし,女性の就労支援,"{Welfare:[妊娠期・子育て支援, 医療介護拠点の充実], Education:[いじめ・虐待・ヤングケアラー・不登校の相談機能強化, 登下校時の安全], City:[なし], Other:[女性の就労支援]}",3.54,2139,脳神経外科、 ICUの主任看護師の経験を持つ,1,1,市議
2022,やまき明美,Female,62,Japan Communist,2.41,1558,"補聴器購入補助, 老人ホーム新設, 障がい者グループホーム 拡充, ケアラー待遇改善",なし,交通利便性増加,国民保険料軽減,"{Welfare:[補聴器購入補助, 老人ホーム新設, 障がい者グループホーム拡充, ケアラー待遇改善], Education:[なし], City:[交通利便性増加], Other:[国民保険軽減]}",0,0,保谷清子氏の 引退に伴って立候補,1,0,市議
2022,下田純一,Male,46,Constitutional Democrats,2.39,1548,高齢者福祉,なし,道路などインフラ整備,企業・施設誘致,"{Welfare:[高齢者福祉], Education:[なし], City:[道路などインフラ整備], Other:[企業・施設誘致]}",0,0,接骨院を 経営していた。,1,0,市議
2022,こみね和美,Male,71,Non,2.35,1521,新型感染症対策,温水洗浄便座・ 体育館への エアコンの導入,なし,なし,"{Welfare:[新型感染症対策], Education:[温水洗浄便座・体育館へのエアコンの導入], City:[なし], Other:[なし]}",2.31,1394,学校法人理事長 も務める,1,1,市議
2022,とみながゆうじ,Male,54,Liberal Democrats,2.26,1460,"学校給食無償化, 児童手当の 所得制限撤廃, 高齢者福祉, 幼稚園等入園料支援",なし,"西武新宿線・ 池袋線の高架化, 田無警察署移転, 免許更新センター 新設, 防災（首都直下地震）, 商店街・ 地元企業支援, 地産地消","財政健全化, デジタル化","{Welfare:[学校給食無償化, 児童手当の所得制限撤廃, 高齢者福祉, 幼稚園等入園料支援], Education:[なし], City:[西武新宿線・池袋線の高架化, 田無警察署移転, 免許更新センター新設, 防災（首都直下地震）, 商店街・地元企業支援, 地産地消], Other:[財政健全化, デジタル化]}",2.21,1337,現役税理士,1,1,市議
2022,小林たつや,Male,61,Liberal Democrats,2.14,1383,"子ども食堂設置, 運転免許証更新施設増設",なし,"東大農場周辺歩道整備, ドッグラン建設",防犯カメラ増設・ 更新,"{Welfare:[子ども食堂設置, 運転免許証更新施設増設], Education:[なし], City:[東大農場周辺歩道整備, ドッグラン建設], Other:[防犯カメラ増設・更新]}",2.68,1619,北原町出身。 市議歴28年（7期）,1,1,市議
2022,佐藤大介,Male,42,Constitutional Democrats,2.04,1321.409,高齢者福祉,なし,なし,なし,"{Welfare:[高齢者福祉], Education:[なし], 
City:[なし], Other:[なし]}",4.59,2772.139,前職は衆議院 議員秘書（6年間）,1,1,市議
2022,いがらしまさお,Male,38,Suffragettes,2.03,1310,「過剰なコロナ対策」 の終了,なし,なし,"市民の声を届ける, 市民の政治参加","{Welfare:[「過剰なコロナ対策」の終了], Education:[なし],City:[なし], Other:[市民の声を届ける, 市民の政治参加]}",0,0,前職は営業職,0,0,市議
2022,山口あずさ,Female,60,Non,2.02,1305,保健所再設,なし,街づくり 100年計画の策定,"地産地消, 市議会中継, 移動投票車導入","{Welfare:[保健所再設], Education:[なし], City:[街づくり100年計画の策定], Other:[地産地消, 市議会中継, 移動投票車導入]}",0.94,606,デジタル技術に 造詣を持つ,0,0,市議
2022,田中のりあき,Male,63,Liberal Democrats,2,1295,"学校給食無償化, 高齢者福祉",学校授業の充実,"災害対策, 商工農業振興, 緑の保護","ストリートピアノ, ネーミングライツ, カーボンオフセット","{Welfare:[学校給食無償化, 高齢者福祉],Education:[学校授業の充実], City:[災害対策, 商工農業振興, 緑の保護], Other:[ストリートピアノ, ネーミングライツ, カーボンオフセット]}",3.06,1846,保谷高校出身,0,1,市議
2022,はねいし里美,Female,55,Japan Communist,1.89,1223,"学校給食無償化, 老人ホーム建設, 障がい者支援",なし,市バス運行改善,"消費税減税, インボイス中止","{Welfare:[学校給食無償化, 老人ホーム建設, 障がい者支援], Education:[なし], City:[市バス運行改善], Other:[消費税減税, インボイス中止]}",0,0,N/A,0,0,市議
2022,たんじひこ太,Male,60,Non,1.63,1051,待機児童数ゼロ,なし,なし,"市政の情報公開, 相談窓口設置, 市民の政治参加","{Welfare:[待機児童数ゼロ], Education:[なし], City:[なし], Other:[市政の情報公開, 相談窓口設置, 市民の政治参加]}",1.05,631,政策担当秘書の 資格を持つ,0,0,市議
2022,しまぞうZ,Male,44,Non,1.18,763,なし,なし,なし,市の魅力向上,"{Welfare:[なし], Education:[なし], City:[なし], Other:[市の魅力向上]}",0,0,吉本興業所属の 芸人として活動,0,0,市議
2022,矢野こうすけ,Male,34,Community Party of Nishitokyo,1.17,758,高齢者活躍,なし,なし,"議員報酬削減, 情報公開, 伝統文化振興, 職業議員・ 世襲議員の撤廃, 議員定数削減","{Welfare:[高齢者活躍], Education:[なし], City:[なし], Other:[議員報酬削減, 情報公開, 伝統文化振興, 職業議員・世襲議員の撤廃, 議員定数削減]}",0,0,日本舞踊、 歌手として活動,0,0,市議
2022,ザ・シャーク,Male,46,Non,0.61,396,"病児保育拡大, 福祉従事者環境改善","フリースクール, 地域人材発掘",なし,"空き家補助, 商店街イベント","{Welfare:[病児保育拡大, 福祉従事者環境改善],Education:[フリースクール, 地域人材発掘], City:[なし], Other:[空き家補助, 商店街イベント]}",0,0,現役プロレスラー。 本名は笹目智広。,0,0,市議
2022,おだみつえ,Female,N/A,Female Politicians 48,0.24,153,なし,スマートフォン無償貸与,なし,"選挙立候補年齢の 18歳への引き下げ, インターネット投票","{Welfare:[なし], Education:[スマートフォン無償貸与],City:[なし], Other:[選挙立候補年齢の18歳への引き下げ, インターネット投票]}",0,0,N/A,0,0,市議
2022,あさひけいこ,Female,56,Female Politicians 48,0.15,96,なし,スマートフォン無償貸与,なし,"選挙立候補年齢の 18歳への引き下げ, インターネット投票","{Welfare:[なし], Education:[スマートフォン無償貸与],
 City:[なし], Other:[選挙立候補年齢の18歳への引き下げ, インターネット投票]}",0,0,N/A,0,0,市議
2022,保谷美智夫,Male,64,Non,0.13,87.131,待機児童ゼロ,入園・入学・ 進級時の祝い金,なし,なんでも相談窓口,"{Welfare:[待機児童ゼロ], Education:[入園・入学・進級時の祝い金], City:[なし], Other:[なんでも相談窓口]}",0,0,N/A,0,0,市議
2022,まるよし孝文,Male,N/A,Female Politicians 48,0.02,14,なし,なし,なし,なし,"{Welfare:[なし], Education:[なし], City:[なし], Other:[なし]}",0,0,N/A,0,0,市議
2018,森てるお,Male,69,Non,6.18,3730.518,"高齢者福祉, 子育て支援",なし,なし,"市民の政治参加, 議員特権の廃止","{Welfare:[高齢者福祉, 子育て支援], Education:[なし], City:[なし], Other:[市民の政治参加, 議員特権の廃止]}",8.89,5709,大学時代、全共闘に 参加し逮捕された ことがある,1,1,市議
2018,浜中のりかた,Male,35,Liberal Democrats,5.44,3282,"幼児保育無償化, 高齢者福祉, ヘルスケア","学校環境整備, 虐待・いじめ・貧困解決","防災, 西武新宿線への 乗り入れ, 乗り合いタクシー, 地元産業支援","1市2庁舎体制 の解消, 財政改革, 行政改革","{Welfare:[幼児保育無償化, 高齢者福祉, ヘルスケア], Education:[学校環境整備, 虐待・いじめ・貧困解決], City:[防災, 西武新宿線への乗り入れ, 乗り合いタクシー, 地元産業支援], Other:[1市2庁舎体制の解消, 財政改革, 行政改革]}",5.56,3571,前職は 野村証券株式会社,1,1,市議
2018,かとう涼子,Female,48,Nishitokyo-Citizens' Network,4.59,2772,子育て・ 介護支援,なし,"空き家活用, 交通弱者支援","総合相談窓口 設置, 子供の 居場所づくり, 市民の政治参加","{Welfare:[子育て・介護支援], Education:[なし], City:[空き家活用, 交通弱者支援], Other:[総合相談窓口設置, 子供の居場所づくり, 市民の政治参加]}",3.92,2519,N/A,1,1,市議
2018,佐藤大介,Male,38,Constitutional Democrats,4.59,2772.139,"独居高齢者支援, 介護士・ 保育士待遇改善",なし,商店街活性化,防災・ 防犯意識向上,"{Welfare:[独居高齢者支援, 介護士・保育士待遇改善],Education:[なし], City:[商店街活性化, ], Other:[防災・防犯意識向上]}",0,0,N/A,1,0,市議
2018,後藤ゆう子,Female,52,Nishitokyo-Citizens' Network,4.48,2705,"子育て・ 介護支援, 子ども食堂",なし,なし,"市民の政治参加, 生活困窮者支援, 省エネ","{Welfare:[子育て・介護支援, 子ども食堂], Education:[なし], City:[なし], Other:[市民の政治参加, 生活困窮者支援, 省エネ]}",4.15,2664,N/A,1,1,市議
2018,保谷なおみ,Female,56,Liberal Democrats,3.92,2367.32,"高齢者福祉, コミュニティ構築",なし,"防災, 都市計画道路 3・4・11合繊整備, 西武線連続立体化, 無電柱化, 公共交通充実, 公園整備",なし,"{Welfare:[高齢者福祉, コミュニティ構築],Education:[なし], City:[防災, 都市計画道路3・4・11合繊整備, 西武線連続立体化, 無電柱化, 公共交通充実, 公園整備], Other:[地産地消]}",4,2566,N/A,1,1,市議
2018,大林みつあき,Male,48,Komeito,3.71,2237,"高齢者福祉, 障がい者福祉",なし,"歩行者、自転車の安全, 地震集中豪雨対策",子供の居場所づくり,"{Welfare:[高齢者福祉, 障がい者福祉], Education:[なし], City:[歩行者、自転車の安全, 地震集中豪雨対策], Other:[子供の居場所づくり]}",0,0,N/A,1,0,市議
2018,森しんいち,Male,59,Constitutional Democrats,3.63,2194.481,"介護者支援, 障がい者福祉, 待機児童解消, 貧困根絶",教育環境整備,なし,雇用体制,"{Welfare:[介護者支援, 障がい者福祉, 待機児童解消, 貧困根絶], Education:[教育環境整備], City:[なし], Other:[雇用体制]}",2.27,1454,N/A,1,1,市議
2018,藤田みちこ,Female,61,Komeito,3.54,2139,"保育施設への 感染症情報提供, 受動喫煙防止, 保育園の使用済み おむつ持ち帰り撤廃",なし,"車歩道段差解消, 公園でのボール遊び を可能に",なし,"{Welfare:[保育施設への感染症情報提供, 受動喫煙防止, 保育園の使用済みおむつ持ち帰り撤廃], Education:[なし], City:[車歩道段差解消, 公園でのボール遊びを可能に], Other:[なし]}",3.09,1986,N/A,1,1,市議
2018,佐藤公男,Male,55,Komeito,3.47,2093,"高齢者福祉, 待機児童ゼロ, 障がい者福祉",パラアート,"文化芸術スポーツ 振興, 豪雨対策, 防災",なし,"{Welfare:[高齢者福祉, 待機児童ゼロ, 障がい者福祉], Education:[パラアート], City:[文化芸術スポーツ振興, 豪雨対策, 防災], Other:[なし]}",3.06,1966,N/A,1,1,市議
2018,納田さおり,Female,48,Non,3.46,2087,"高齢者福祉, 障がい者福祉, 子育て支援",学費支援,"田無駅南口発展, 防災","ハラスメント防止, 西東京マルシェ構想","{Welfare:[高齢者福祉, 障がい者福祉, 子育て支援], Education:[学費支援], City:[田無駅南口発展, 防災], Other:[ハラスメント防止, 西東京マルシェ構想]}",3.33,2139,N/A,1,1,市議
2018,田代のぶゆき,Male,48,Komeito,3.38,2038,"待機児童ゼロ, 高齢者福祉, 障がい者施設","教育環境充実, 特別支援教育 充実",防災,なし,"{Welfare:[待機児童ゼロ, 高齢者福祉, 障がい者施設], Education:[教育環境充実, 特別支援教育充実], City:[防災], Other:[なし]}",3.12,2004,N/A,1,1,市議
