,text,Onlynouns,selectednouns
17,次指定管理や社会福祉協議や地域包括支援センターなどの関係団体との災害おけるかかわりお答えし災害おける災害要支援・要援護など自主避難が困難な市民の対して日ごろ関係の事業のや団体よる支援は市民の命守る非常有効でと考えており指定管理よる本市公共施設の開放やサービス提供も重要でと認識しており各団体や事業との協定締結など実施しながら契約締結の可能な災害おける対応など協議しでも多くの命守れる対応検討していくが重要でと考えており,"['指定管理', '社会福祉協議', '地域包括支援センター', '関係団体', '災害', '災害', '災害', '支援', '援護', '自主避難', '困難', '市民', '関係', '事業', '団体', '支援', '市民', '命', '非常有効', '指定管理', '本市公共施設', '開放', 'サービス提供', '重要', '認識', '団体', '事業', '協定締結', '実施', '契約締結', '可能', '災害', '対応', '協議', '多く', '命', '対応検討', '重要']","['災害', '災害', '災害', '自主避難', '災害']"
18,次官民連携公共施設の活用お答えし官民連携はこれまで行政が主体となって提供してきた公共サービス従来の枠組みとらわれるなく将来わたり良質な市民サービスが提供できる事業対行政の役割改めて見直し行政と民間の連携財政負担の軽減や行政の効率図る目的効果とでござい導入当たりましては事業発案や事業手法検討段階で民間の資金創意工夫活用市民サービスの質が向上か事業実施地域の活性つながるか民間との適切な役割分担財政負担の軽減が図れるかな３つの視点が重要でと考えており民間活力の活用つきましてはこれまでの間最も適実施主体検証し各種事業の実施や施設維持管理おける民間委託や指定管理制度の導入民間移譲など推進しそれ伴い現行の職員配置の見直しも進め市民サービスのなる向上図ってまいり今後も市民サービスの向上と各種事業の効果な実施向けて検討進めるで市が直接担うべきと民間活力の活用進めるべき整理しで最も適実施主体検証してまいり,"['官民連携公共施設', '官民連携', '行政', '主体', '提供', '公共サービス従来', '枠組み', '将来', '良質', '市民サービス', '提供', '事業対行政', '役割', '見直し行政', '民間', '連携財政負担', '軽減', '行政', '効率', '目的効果', '導入', '事業発案', '事業手法検討段階', '民間', '資金創意工夫活用市民サービス', '質', '向上', '事業実施地域', '活性', '民間', '適切', '役割分担財政負担', '軽減', '視点', '重要', '民間活力', '活用', '間', '適実施主体検証', '各種事業', '実施', '施設維持管理', '民間委託', '指定管理制度', '導入民間移譲', '推進', '現行', '職員配置', '見直し', '市民サービス', '向上', '今後', '市民サービス', '向上', '各種事業', '効果', '実施', '検討', '市', '直接', '民間活力', '活用', '整理', '適実施主体検証']",['官民連携']
19,次障福祉おける放課後デイサービスお答えし放課後デイサービスは小学生から高校生世代までの障害のお子様対し学校の授業終了や休業生活能力の向上の必要な訓練社会との交流の促進の支援行う支援必要と障害のお子さん対して学校や家庭とは異なる時間空間体験々通じて個々の状況応じた支援行う育成図る目的おり市内の放課後デイサービス事業の実施状況でございが事業は年々増加しており近隣と比較してもサービス提供の体制は進んできている状態と考えており放課後デイサービス事業は厚生労働省が定めたガイドライン沿った運営支援実施しており事業おける自己評価公表のほか利用児童の個別支援計画作成保護の対相談支援行っており東京障害通所支援事業の開設当たっては運営法人対象の説明参加法令基準や事業の目的正しく理解していただく指定協議の前提運用行うなど事業の質の確保努めているござい市といたしましては引き続き事業連絡と連携し各事業おける多様なメニューの工夫や支援プログラム情報共有努めるなど利用の希望踏まえた支援の質の確保向上努めてまいりたいと考えており,"['次', '福祉', '放課後デイサービス', '小学生', '高校生世代', '障害', 'お子様', '学校', '授業終了', '休業生活能力', '向上', '必要', '訓練社会', '交流', '促進', '支援', '支援必要', '障害', 'お子さん', '学校', '家庭', '時間空間体験', '個々', '状況', '支援', '育成', '目的', '市内', '放課後デイサービス事業', '実施状況', '事業', '年々増加', '近隣', '比較', 'サービス提供', '体制', '状態', '放課後デイサービス事業', '厚生労働省', 'ガイドライン', '運営支援実施', '事業', '自己評価公表', 'ほか利用児童', '個別支援計画作成保護', '対相談支援', '東京障害通所支援事業', '開設', '運営法人対象', '説明参加法令基準', '事業', '目的', '理解', '指定協議', '前提運用', '事業', '質', '確保', '市', '事業連絡', '連携', '事業', '多様', 'メニュー', '工夫', '支援プログラム情報共有', '利用', '希望', '支援', '質', '確保向上']",
20,次障害福祉おける相談支援お答えし第障害福祉計画おいては障害福祉の基幹相談支援センターとともえぽっくもワンストップの相談窓口位置づけ各地域活動支援センターや関係機関つなぐ橋渡し相談支援コーディネーターの役割担い地域活動支援センターのバックアップや基幹相談支援センターと連携ネットワーク形成図るおり計画期間おきましてえぽっくの基幹相談支援センター目指し虐待対応や困難事例への対応基幹相談支援センターの対応手法の実践通じ相談支援体制の底上げ図るおり調整重ねてきているござい家族のや地域社会の変容高齢など福祉ニーズが多様複雑で今後新しい地域包括支援体制の構築向けては全てのが年齢や状況問わずのニーズ応じた適切な支援が受けられる体制の構築が必要でと認識しておりも地域働きかけ地域住民の参画得てネットワークの強化と地域進めていくが重要でと考えておりので来年度策定予定している第障害福祉計画おいて検討してまいり,"['障害福祉', '障害福祉計画', '障害福祉', '基幹相談支援センター', 'くもワンストップ', '相談窓口', '地域活動支援センター', '関係機関', '橋渡し相談支援コーディネーター', '役割', '地域活動支援センター', 'バックアップ', '基幹相談支援センター', '連携ネットワーク形成', '計画期間', '基幹相談支援センター', '虐待対応', '困難事例', '対応基幹相談支援センター', '対応手法', '実践', '相談支援体制', '底上げ', '調整', '家族', '地域社会', '変容高齢', '福祉ニーズ', '多様複雑', '今後', '地域包括支援体制', '構築', '全ての', '年齢', '状況', 'ニーズ', '適切', '支援', '体制', '構築', '必要', '認識', '地域働きかけ地域住民', '参画', 'ネットワーク', '強化', '地域', '重要', '来年度策定予定', '障害福祉計画', '検討']",
21,次事業対指導検査お答えし障害福祉サービス運営法人検査は市が所轄となる社会福祉法人対し社会福祉第関係法令通知基づき定期指導検査実地検査行っており法人の運営状況は西東京障害福祉サービス事業指導及び監査の実施方針の基本理念基づき制度の円滑かつ適正な運営と法令基づく適正な事業運営確保観点でから目途実施しているござい支援やサービス内容の検査つきましては障害の日常生活及び社会生活総合支援の法律身体障害福祉児童福祉及び社会福祉並び東京の条例で定める最低基準及び指定基準対適合状況東京が行っており個別適合状況明らかし必要応じて助言指導は是正の措置講ずる障害福祉サービス事業のサービス内容の質の確保自立支援給付係る費用の支給の適正及び業務管理体制の適切な整備運用図っており今後も施設利用方々が日々快適生活送り続けていく障害福祉サービス事業のサービス内容の質の確保ととも市民ボランティアのの活用も検討しながら適切な整備運用図ってまいり,"['障害福祉サービス運営法人検査', '市', '所轄', '社会福祉法人', '社会福祉', '関係法令通知', '定期指導検査実地検査', '法人', '運営状況', '西東京障害福祉サービス事業指導', '監査', '実施方針', '基本理念', '制度', '円滑', '適正', '運営', '法令', '適正', '事業運営確保観点', '目途実施', '支援', 'サービス内容', '検査', '障害', '日常生活', '社会生活総合支援', '法律身体障害福祉児童福祉', '社会福祉並び東京', '条例', '最低基準', '指定基準対適合状況東京', '個別適合状況明らか', '必要', '助言指導', '是正', '措置', '障害福祉サービス事業', 'サービス内容', '質', '確保自立支援給付', '費用', '支給', '適正', '業務管理体制', '適切', '整備運用', '今後', '施設利用方々', '日々快適生活', '障害福祉サービス事業', 'サービス内容', '質', '確保', '市民ボランティア', '活用', '検討', '適切', '整備運用']",
22,次泉小学校跡地障害福祉施設お答えし泉小学校跡地障害福祉施設つきましては本年８月事業の事業施設整備補助の内示得たの報告受けた事業のとの間で泉小学校跡地活用障害福祉施設整備運営事業基本協定及び土地賃貸借契約締結いたし施設利用や施設利用（希望）の選考当たっては事前入所の条件募集要項明確し入所選考委員おいて選考していく予定でと事業の伺っており入所の選考当たりましては透明の確保努め公平確保と伺っておりなお当該施設おける放課後デイサービスは対象は主重症心身障害や医療ケア受け入れるとの事業のからの提案いただいており重症心身障害や医療ケア対象と放課後デイサービスのニーズは増加が見込まれるから当該事業が運営既存の重症心身障害や医療ケア対象と放課後デイサービス加え泉小学校跡地おいても当該事業実施していただくと認識しており,"['泉小学校跡地障害福祉施設', '本年8月事業', '事業施設整備補助', '内示', '報告', '事業の', '間', '泉小学校跡地活用障害福祉施設整備運営事業基本協定', '土地賃貸借契約締結', '施設利用', '施設利用希望', '選考', '事前入所', '条件募集要項明確', '入所選考委員', '選考', '予定', '事業', '入所', '選考', '透明', '確保', '公平確保', '当該施設', '放課後デイサービス', '対象', '重症心身障害', '医療ケア', '事業の', '提案', '重症心身障害', '医療ケア対象', '放課後デイサービス', 'ニーズ', '増加', '当該事業', '運営既存', '重症心身障害', '医療ケア対象', '放課後デイサービス', '泉小学校跡地', '当該事業実施', '認識']","['選考', '選考', '選考']"
23,"次公園行政お答えし公園配置計画つきましては６つの基本方針定め健康応援都市おける公園の方向定めており現在の計画の進捗状況でございが基本方針の「公園空白地区新たな公園設置しよう」や「財源の確保の方法工夫しよう」公園空白地区の基準見直すととも金銭納付が可能となる条件整備し平成から運用開始しており結果運用開始から令和元年月まで,が金銭納付され財源確保寄与しているござい一方「大きな公園は個性活かリニューアルしよう」つきましては現在リニューアル至った大規模な公園はございません今後「老朽公園施設はニーズ合った更新しよう」の基本方針とあわせ令和市内の公園の改修計画策定でリニューアルや改修の優先順位設定し限られた財源ので計画かつ効果取り組んでまいりたいと考えており","['公園配置計画', '基本方針', '健康応援都市', '公園', '方向', '現在', '計画', '進捗状況', '基本方針', '公園空白地区新た', '公園設置', '財源', '確保', '方法工夫', '公園空白地区', '基準', '金銭納付', '可能', '条件整備', '平成', '運用開始', '結果運用開始', '令和', '年月', ',', '金銭納付', '財源確保寄与', '公園', '個性活', 'リニューアル', '現在リニューアル', '規模', '公園', '今後', '老朽公園施設', 'ニーズ', '更新', '基本方針', '令和市内', '公園', '改修計画策定', 'リニューアル', '改修', '優先順位設定', '財源', '計画', '効果']",
24,次サマー子ども教室など子ど居場所お答えしサマー子ども教室事業は夏休み期間の児童の居場所の提供多様な体験活動の場の確保及び学童クラブ定員超過の緩和目的実施しており今年度は小学校の全児童対象教室形式学校施設開放運営協議とも連携しながら働事業実施いたし実施内容は今まで実施していた事業加え民間企業よる社会貢献事業プログラム活用で多くの参加のが集まり学童クラブの定員超過の緩和とど居場所も効果が見られ今後は近隣児童がない地域や学童クラブが定員超過している小学校対象今年度の方式継続して実施しかつ放課後子供教室運営学校施設開放運営協議との連携深めるで学童クラブと放課後子供教室の一体化や連携も資取り組み位置づけてまいりたいと考えており児童ランチタイム事業は夏休みの子ど居場所と孤防止含む食目的実施しており今年度はで実施し前年度上回る参加が児童で過ごし一定の効果があったと考えられており今後は全児童対象と事業となる取り組んでまいりたいと考えており,"['サマー子ども教室', 'サマー子ども教室事業', '夏休み期間', '児童', '居場所', '提供多様', '体験活動', '場', '確保', '学童クラブ定員超過', '緩和目的実施', '今年度', '小学校', '児童対象教室形式学校施設開放運営協議', '連携', '働事業実施', '実施内容', '今', '実施', '事業', '民間企業', '社会貢献事業プログラム活用', '多く', '参加の', '学童クラブ', '定員超過', '緩和', '居場所', '効果', '今後', '近隣児童', '地域', '学童クラブ', '定員超過', '小学校対象今年度', '方式継続', '実施', '放課後子供教室運営学校施設開放運営協議', '連携', '学童クラブ', '放課後子供教室', '一体化', '連携', '資取り組み', '児童ランチタイム事業', '夏休み', '子', '居場所', '孤防止', '食目的実施', '今年度', '実施', '前年度', '参加', '児童', '一定', '効果', '今後', '児童対象', '事業']",
25,次これからのまちお答えし後期基本計画策定当たりましてまち若者サミットの皆様からは田無南口ロータリーの空地活用し駅前多世代が集まれる広場つくる雨でもぬれない屋根とバリアフリーの提案いただきいただいた内容の実現可能確認企画都市整備おいて駅前広場の空間活用各種制度の把握のほかコストも含め提案内容実現課題がか調査研究してきたござい,"['次', '後期基本計画策定', 'まち若者サミット', '田無南口ロータリー', '空地活用', '駅前', '世代', '広場', '雨', '屋根', 'バリアフリー', '提案', '内容', '実現可能確認企画都市整備', '駅前広場', '空間活用各種制度', '把握', 'ほかコスト', '提案内容実現課題', '調査研究']",
26,最後田無庁舎近隣の南町自転車保管の一部今後駐車整備の影響お答えし駐車つきましては庁舎機能の再配置伴い田無庁舎で不足駐車スペース補う当該自転車保管の一部駐車整備でございが当該が住宅で近く小学校もから近隣住民のや通学児童への安全確保と配慮が必要でと認識しており対応といたしましてはスクールゾーンおける通行禁止時間の庁の出入緊急やむ得ない場合除き抑制や出入りのの道順定め職員周知想定しており今後学校への説明や周知丁寧実施してまいり庁舎機能の再配置伴いで田無庁舎へ来されるも一定増加と認識しておりがこれまでの駐車稼働から一定の増加対応できると考えており周辺道路の状況つきましては再配置おいても引き続き周知してまいり,"['最後田無庁舎近隣', '南町自転車保管', '一部今後駐車整備', '駐車', '庁舎機能', '配置', '田無庁舎', '不足駐車スペース', '当該自転車保管', '一部駐車整備', '当該', '住宅', '近く小学校', '近隣住民', '通学児童', '安全確保', '配慮', '必要', '認識', '対応', 'スクールゾーン', '通行禁止時間', '庁', '出入緊急', '場合', '抑制', '出入り', '道順', '職員周知想定', '今後学校', '説明', '周知丁寧実施', '庁舎機能', '配置', '田無庁舎', '一定増加', '認識', '駐車稼働', '一定', '増加対応', '周辺道路', '状況', '配置', '周知']","['田無庁舎', '田無庁舎']"
27,	:◯教育（）子育て教育環境関し放課後子供教室お答えいたし放課後子供教室は学校の施設開放し放課後おける子どもの安全で健やかな居場所地域住民の参画得ながら各小学校学校施設開放運営協議（運）委託して実施しており校庭安全な遊び場全で開放しているほか多様な体験・交流の機会学習活動の機会の提供実施している学校は平成時点継続実施している学校がでほかスポット実施していただいた学校がでござい事業の実施際して運の皆様現状で人材不足お話いただいており受けまして本年３月の市で放課後サポーター愛称協力いただける募集いたし放課後サポーターの役割といたしましては会場の準備や利用の受け付け校庭の巡回や子どもの見守りなどでござい募集当たっての説明のの出席いただき現地見学などいただいたの放課後サポーター従事していただいたございな取り組み通し本年度から新た学習機会の提供実施学校がほか児童青少年との連携よる実施メニューの紹介やノウハウの提供現在で実施検討いただいており放課後子供教室は共働き家庭などの児童限らず全ての児童が多様な体験活動行うができるでございので引き続き学校施設運営連絡協議への支援や児童青少年との連携などの取り組み進め学習活動の機会提供の実施拡充図ってまいり,"['', '◯教育子育て教育環境', '放課後子供教室', '学校', '施設開放', '放課後', '子ども', '安全', '健やか', '居場所地域住民', '参画', '小学校学校施設開放運営協議運委託', '実施', '校庭安全', '遊び場全', '開放', 'ほか多様', '体験', '交流', '機会学習活動', '機会', '提供実施', '学校', '平成時点継続実施', '学校', 'ほかスポット実施', '学校', '事業', '実施', '運', '人材不足お話', '本年3月', '市', '放課後サポーター愛称協力', '募集', '放課後サポーター', '役割', '会場', '準備', '利用', '受け付け校庭', '巡回', '子ども', '募集', '説明', '出席いただき現地見学', '放課後サポーター従事', '取り組み', '年度', '新た学習機会', '提供実施学校', 'ほか児童青少年', '連携', '実施メニュー', '紹介', 'ノウハウ', '提供現在', '実施検討', '放課後子供教室', '共働き家庭', '児童', '全て', '児童', '多様', '体験活動', '学校施設運営連絡協議', '支援', '児童青少年', '連携', '取り組み', '学習活動', '機会提供', '実施拡充']",
28,	:◯ささえあい・健康担当部長（）小学校跡地障害福祉施設市長補足して答弁申し上げ施設の利用の決定当たりましては公平の確保寄附入所の条件寄附の有無もしくは寄附係る額の多寡基準とし事業提案内容のサービスの提供の拒否や差別取り扱いがない努めると伺っており,"['', '◯', '施設', '利用', '決定', '公平', '確保寄附入所', '条件寄附', '有無', '寄附', '額', '多寡基準', '事業提案内容', 'サービス', '提供', '拒否', '差別取り扱い']",
29,	:◯（）がとうござい対してかけてゆっくりと十分過ぎる答弁いただきのででやりから端的お答えいただけるとがたい,"['', '◯', '十分']",
30,防災対策備蓄はわかり一般自分で持ってくるだよで自主避難自体が一般じゃないから先ほど申し上げたやっているからしかも夜びっくりして避難してきた人言えば持ってくる余裕なんかないいう配慮やっぱりしっかりが大事だとフォンの充電なんかは今後考えていくで今回私もすごくなったは雨の中避難してきているから衣服がぬれているお休みいただくよねぬれたこういったも風水害のどういう備蓄が必要なかはやっぱりしっかりと考えていっていただきたいと,"['防災対策備蓄', '一般自分', '自主避難自体', '一般', '先', '夜びっくり', '避難', '人', '余裕', '配慮', '大事', 'フォン', '充電', '今後', '今回私', '雨', '避難', '衣服', '風水害', '備蓄', '必要']",
31,職員の配置つきましてもやっぱり災害が起きたらいわゆる公助行政の役割が発生限られた職員ので効率効果災害対策やっていかなきゃいけないふうなればやっぱりの職員どの動いていただくかしっかり考えるべきだ私はこれは専門もしかり自主避難といって心身課題のが避難してきたケースも聞いておりいう意味保健であったりとかいったも含めてしっかり対応していただきたい,"['職員', '配置', '災害', '公', '行政', '役割', '発生', '職員', '効率効果災害対策', 'ゃいけないふうなればやっぱりの職員', '専門', '自主避難', '心身課題の', '避難', 'ケース', '意味保健', '対応']","['災害', '自主避難']"
32,指定管理であったりとかね指定管理の場合は難しいと思う課題がこれそれぞれの施設で災害のどういうやっていただくか協定はそれぞれどういうながかは危機管理の把握できていかどういう協定でお約束されているかわかれば,"['指定管理', '指定管理', '場合', '課題', 'これそれぞれ', '施設', '災害', '協定', 'それぞれ', '危機管理', '把握', '協定', '約束']",['災害']
33,	:◯危機管理室長（田喜知和仁君）指定管理のとの災害の対応今の協定ので規定されている部分は把握していない状況でござい,"['', '災害', '対応今', '協定', '規定', '部分', '把握', '状況']",['災害']
34,	:◯（）ぜひ今後把握していただいて指定管理の場合事業は当然労働雇用している人守らなければいけないから災害が発生人は本当対応かしないかしないであればもし避難とすれば指定管理業務停止も考えられる場合部分の補償はどうかさまざまな課題がのでぜひ検討していただきたいし今回公共交通機関の計画運休が場合地域包括支援センターのスタッフどうか社会福祉協議の職員どうかこういったもしっかりと考えておいていただきたいだけ申し上げておき,"['', '◯', '今後把握', '指定管理', '場合事業', '労働雇用', '人', '災害', '発生人', '本当対応', '避難', '指定管理業務停止', '場合部分', '補償', 'さまざま', '課題', '検討', '今回公共交通機関', '計画運休', '場合地域包括支援センター', 'スタッフ', '社会福祉協議', '職員']",['災害']
